Filename,Param_1,Param_2,Param_3,Param_4,Param_5,Param_6,Param_7,Param_8,Tool,Polar Runtime,Average Time per Iteration,# Iterations,Time_Seconds
p_0.00_1000.00_5000.00_5000.00_1.5000_1000.00_1.00_2.5555555556.smt2,0.0,1000.0,5000.0,5000.0,1.5,1000.0,1.0,2.5555555556,Golem,,,,316.0964
p_0.00_1000.00_5000.00_5000.00_1.5000_1000.00_1.00_2.5555555556.smt2,0.0,1000.0,5000.0,5000.0,1.5,1000.0,1.0,2.5555555556,GSpacer,,,,316.2196
p_0.00_1000.00_5000.00_5000.00_1.5000_1000.00_1.00_2.7777777778.smt2,0.0,1000.0,5000.0,5000.0,1.5,1000.0,1.0,2.7777777778,Phaserr,,,,318.1422
p_0.00_1000.00_5000.00_5000.00_1.5000_1000.00_1.00_2.7777777778.smt2,0.0,1000.0,5000.0,5000.0,1.5,1000.0,1.0,2.7777777778,Spacer,,,,317.0077
p_0.00_1000.00_5000.00_5000.00_1.5000_1000.00_1.00_2.7777777778.smt2,0.0,1000.0,5000.0,5000.0,1.5,1000.0,1.0,2.7777777778,Golem,,,,316.599
p_0.00_1000.00_5000.00_5000.00_1.5000_1000.00_1.00_2.7777777778.smt2,0.0,1000.0,5000.0,5000.0,1.5,1000.0,1.0,2.7777777778,GSpacer,,,,318.5043
p_0.00_1000.00_5000.00_5000.00_1.5000_1000.00_1.00_3.0000000000.smt2,0.0,1000.0,5000.0,5000.0,1.5,1000.0,1.0,3.0,Phaserr,,,,316.8324
p_0.00_1000.00_5000.00_5000.00_1.5000_1000.00_1.00_3.0000000000.smt2,0.0,1000.0,5000.0,5000.0,1.5,1000.0,1.0,3.0,Spacer,,,,317.8163
p_0.00_1000.00_5000.00_5000.00_1.5000_1000.00_1.00_3.0000000000.smt2,0.0,1000.0,5000.0,5000.0,1.5,1000.0,1.0,3.0,Golem,,,,317.0157
p_0.00_1000.00_5000.00_5000.00_1.5000_1000.00_1.00_3.0000000000.smt2,0.0,1000.0,5000.0,5000.0,1.5,1000.0,1.0,3.0,GSpacer,,,,319.2128
p_0.00_1000.00_5000.00_5000.00_1.6667_1000.00_1.00_1.0000000000.smt2,0.0,1000.0,5000.0,5000.0,1.6667,1000.0,1.0,1.0,Phaserr,,,,317.8039
p_0.00_1000.00_5000.00_5000.00_1.6667_1000.00_1.00_1.0000000000.smt2,0.0,1000.0,5000.0,5000.0,1.6667,1000.0,1.0,1.0,Spacer,,,,318.976
p_0.00_1000.00_5000.00_5000.00_1.6667_1000.00_1.00_1.0000000000.smt2,0.0,1000.0,5000.0,5000.0,1.6667,1000.0,1.0,1.0,Golem,,,,320.9984
p_0.00_1000.00_5000.00_5000.00_1.6667_1000.00_1.00_1.0000000000.smt2,0.0,1000.0,5000.0,5000.0,1.6667,1000.0,1.0,1.0,GSpacer,,,,318.7996
p_0.00_1000.00_5000.00_5000.00_1.6667_1000.00_1.00_1.2222222222.smt2,0.0,1000.0,5000.0,5000.0,1.6667,1000.0,1.0,1.2222222222,Phaserr,,,,319.3382
p_0.00_1000.00_5000.00_5000.00_1.6667_1000.00_1.00_1.2222222222.smt2,0.0,1000.0,5000.0,5000.0,1.6667,1000.0,1.0,1.2222222222,Spacer,,,,322.4663
p_0.00_1000.00_5000.00_5000.00_1.6667_1000.00_1.00_1.2222222222.smt2,0.0,1000.0,5000.0,5000.0,1.6667,1000.0,1.0,1.2222222222,Golem,,,,320.0352
p_0.00_1000.00_5000.00_5000.00_1.6667_1000.00_1.00_1.2222222222.smt2,0.0,1000.0,5000.0,5000.0,1.6667,1000.0,1.0,1.2222222222,GSpacer,,,,319.4461
p_0.00_1000.00_5000.00_5000.00_1.6667_1000.00_1.00_1.4444444444.smt2,0.0,1000.0,5000.0,5000.0,1.6667,1000.0,1.0,1.4444444444,Phaserr,,,,322.2644
p_0.00_1000.00_5000.00_5000.00_1.6667_1000.00_1.00_1.4444444444.smt2,0.0,1000.0,5000.0,5000.0,1.6667,1000.0,1.0,1.4444444444,Spacer,,,,320.9272
p_0.00_1000.00_5000.00_5000.00_1.6667_1000.00_1.00_1.4444444444.smt2,0.0,1000.0,5000.0,5000.0,1.6667,1000.0,1.0,1.4444444444,Golem,,,,320.2106
p_0.00_1000.00_5000.00_5000.00_1.6667_1000.00_1.00_1.4444444444.smt2,0.0,1000.0,5000.0,5000.0,1.6667,1000.0,1.0,1.4444444444,GSpacer,,,,319.9399
